"case_id","fault_terminal","component_type","supply_mode","current_level","service_years","vent_state","door_state","current_profile","ambient_temp","severity","seed"
"CASE_00202","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","off","closed","constant","26.0","0.75","202000"
"CASE_00203","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","off","closed","constant","26.0","0.75","203001"
"CASE_00204","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","off","closed","constant","26.0","0.75","204002"
"CASE_00205","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","normal","closed","constant","26.0","0.75","205000"
"CASE_00206","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","normal","closed","constant","26.0","0.75","206001"
"CASE_00207","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","normal","closed","constant","26.0","0.75","207002"
"CASE_00208","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","reduced","closed","constant","26.0","0.75","208000"
"CASE_00209","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","reduced","closed","constant","26.0","0.75","209001"
"CASE_00210","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","reduced","closed","constant","26.0","0.75","210002"
"CASE_00211","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","forced","closed","constant","26.0","0.75","211000"
"CASE_00212","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","forced","closed","constant","26.0","0.75","212001"
"CASE_00213","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","forced","closed","constant","26.0","0.75","213002"
"CASE_00214","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","off","closed","constant","26.0","0.75","214000"
"CASE_00215","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","off","closed","constant","26.0","0.75","215001"
"CASE_00216","KM1_DC","contactor_dc_terminal","DC","15.0","10.0","off","closed","constant","26.0","0.75","216002"
"CASE_00217","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","normal","closed","constant","26.0","0.75","217000"
"CASE_00218","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","normal","closed","constant","26.0","0.75","218001"
"CASE_00219","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","normal","closed","constant","26.0","0.75","219002"
"CASE_00220","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","reduced","closed","constant","26.0","0.75","220000"
"CASE_00221","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","reduced","closed","constant","26.0","0.75","221001"
"CASE_00222","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","reduced","closed","constant","26.0","0.75","222002"
"CASE_00223","KM1_DC","contactor_dc_terminal","DC","15.0","20.0","forced","closed","constant","26.0","0.75","223000"
